x,y,z
-25187.32813,223.6931763,33701.88281
-25187.16992,223.6929779,33701.80469
-25187.0332,223.6928406,33701.73438
-25186.82813,223.6925354,33701.63281
-25186.67578,223.6928101,33701.55859
-25186.50977,223.6961365,33701.47656
-25186.28516,223.697998,33701.37109
-25186.10547,223.6958923,33701.28906
-25185.91797,223.6899109,33701.20313
-25185.7168,223.686554,33701.10938
-25185.52344,223.686554,33701.02344
-25185.31836,223.6867065,33700.92969
-25185.09961,223.6862183,33700.82813
-25184.88281,223.6860962,33700.73047
-25184.62109,223.6865692,33700.61328
-25184.39844,223.6867065,33700.51563
-25184.08594,223.6859589,33700.38281
-25183.84961,223.6851349,33700.28516
-25183.51172,223.684082,33700.14844
-25183.27148,223.6834869,33700.05469
-25183.01172,223.6828308,33699.95313
-25182.7207,223.6820679,33699.84375
-25182.41016,223.6807251,33699.73047
-25182.08008,223.6783295,33699.60938
-25181.79492,223.6759949,33699.51172
-25181.49414,223.6737823,33699.41016
-25181.09961,223.6713104,33699.28125
-25180.80469,223.6697388,33699.1875
-25180.47461,223.6679382,33699.08594
-25180.16406,223.6661072,33698.99219
-25179.78711,223.6640625,33698.88672
-25179.45117,223.6626129,33698.79688
-25179.04688,223.6611023,33698.69141
-25178.69141,223.6591644,33698.60156
-25178.33789,223.6569061,33698.51953
-25177.83203,223.6538696,33698.40234
-25177.44727,223.6519012,33698.32031
-25177.06641,223.6495667,33698.24219
-25176.68359,223.646698,33698.16797
-25176.27344,223.643219,33698.09375
-25175.85352,223.6398926,33698.01953
-25175.46875,223.6373138,33697.95703
-25175.06836,223.6351013,33697.89844
-25174.52344,223.6317902,33697.82031
-25174.11523,223.6292114,33697.76953
-25173.67773,223.6270752,33697.71484
-25173.12695,223.625351,33697.65234
-25172.70898,223.6244965,33697.60938
-25172.27734,223.6234589,33697.57031
-25171.82031,223.6216431,33697.53125
-25171.37891,223.6192322,33697.49609
-25170.81641,223.6163788,33697.45703
-25170.32813,223.6144104,33697.42578
-25169.79102,223.611969,33697.39453
-25169.39063,223.6097412,33697.375
-25168.85742,223.6071014,33697.34766
-25168.24805,223.6061096,33697.32031
-25167.80078,223.6061859,33697.30078
-25167.29297,223.6065369,33697.28125
-25166.83984,223.6066895,33697.26172
-25166.36719,223.6059113,33697.24609
-25165.88086,223.6040039,33697.22266
-25165.35352,223.6017151,33697.19922
-25164.88672,223.5999451,33697.17578
-25164.41797,223.5983887,33697.15234
-25163.91992,223.5974121,33697.12109
-25163.41406,223.5967255,33697.08984
-25162.93359,223.5955658,33697.05469
-25162.33789,223.5928497,33697
-25161.76367,223.5899963,33696.94531
-25161.24023,223.5881805,33696.88281
-25160.63672,223.5865326,33696.80469
-25160.03516,223.5847321,33696.71875
-25159.58398,223.5833282,33696.64453
-25159.05664,223.5803833,33696.55078
-25158.44727,223.5752106,33696.42969
-25157.98047,223.571579,33696.32813
-25157.51172,223.5686188,33696.21875
-25157.03906,223.5660095,33696.09766
-25156.53125,223.5636902,33695.95703
-25155.95117,223.5615997,33695.77734
-25155.52539,223.5600891,33695.63281
-25154.93945,223.5580444,33695.42188
-25154.52734,223.5563507,33695.25781
-25154.07227,223.5540314,33695.06641
-25153.58008,223.5514526,33694.84766
